"RefDes","X (mm)","Y (mm)","Side","Rotate","LCSC"
"C1","74.295","67.8","Top","90.0","C1525"
"C2","85.09","61.913","Top","0.0","C1525"
"C101","3.81","30.928","Top","90.0","C96123"
"C102","6.35","30.928","Top","90.0","C96123"
"C103","12.7","30.928","Top","90.0","C96123"
"C104","15.558","30.928","Top","90.0","C96123"
"C105","23.813","30.928","Top","90.0","C96123"
"C106","26.67","30.928","Top","90.0","C96123"
"C107","33.655","30.928","Top","90.0","C96123"
"C108","36.513","30.928","Top","90.0","C96123"
"C201","64.135","62.115","Top","270.0","C49217"
"C202","3.925","65.405","Top","0.0","C49217"
"C203","3.925","67.628","Top","0.0","C49217"
"C204","6.465","70.168","Top","0.0","C49217"
"C205","3.997","62.548","Top","180.0","C96123"
"C206","7.62","63.947","Top","90.0","C96123"
"D1","67.628","71.29","Top","270.0","C78395"
"D2","45.085","71.29","Top","270.0","C78395"
"D3","57.15","71.29","Top","270.0","C78395"
"D4","62.548","71.29","Top","270.0","C78395"
"D101","2.858","15.303","Top","270.0","C95872"
"D102","56.198","40.128","Top","90.0","C8598"
"D103","55.18","44.768","Top","180.0","C2286"
"D104","3.81","35.625","Top","90.0","C2286"
"D105","12.7","15.303","Top","270.0","C95872"
"D106","71.438","40.763","Top","90.0","C8598"
"D107","68.832","44.768","Top","180.0","C2286"
"D108","12.7","35.308","Top","90.0","C2286"
"D109","22.86","15.303","Top","270.0","C95872"
"D110","87.63","40.763","Top","90.0","C8598"
"D111","82.485","45.085","Top","180.0","C2286"
"D112","23.813","35.625","Top","90.0","C2286"
"D113","32.385","15.303","Top","270.0","C95872"
"D114","88.265","51.24","Top","90.0","C8598"
"D115","33.655","35.625","Top","90.0","C2286"
"D116","85.408","52.005","Top","270.0","C2286"
"D201","6.095","73.342","Top","180.0","C412437"
"D202","45.72","27.773","Top","270.0","C2286"
"J1","28.258","56.832","Top","0.0","NONE"
"J2","28.258","41.592","Top","0.0","NONE"
"J3","9.7","80.5","Top","0.0","NONE"
"J4","24.7","80.5","Top","0.0","NONE"
"J5","39.7","80.5","Top","0.0","NONE"
"J6","62.4","80.5","Top","0.0","NONE"
"J7","77.4","80.5","Top","0.0","NONE"
"J8","92.4","80.5","Top","0.0","NONE"
"J9","10.3","6.3","Top","180.0","NONE"
"J10","25.3","6.3","Top","180.0","NONE"
"J11","40.3","6.3","Top","180.0","NONE"
"J12","63","6.3","Top","180.0","NONE"
"J13","78","6.3","Top","180.0","NONE"
"J14","93","6.3","Top","180.0","NONE"
"J101","8.89","17.78","Top","90.0","NONE"
"J102","18.732","17.78","Top","90.0","NONE"
"J103","28.258","17.78","Top","90.0","NONE"
"J104","39.053","17.78","Top","90.0","NONE"
"K101","63.183","29.242","Top","0.0","NONE"
"K102","78.74","29.242","Top","0.0","NONE"
"K103","94.615","28.925","Top","0.0","NONE"
"K104","94.615","58.705","Top","180.0","NONE"
"Q101","56.373","48.16","Top","0.0","C8545"
"Q102","70.66","48.16","Top","0.0","C8545"
"Q103","82.408","48.16","Top","0.0","C8545"
"Q104","82.408","56.097","Top","0.0","C8545"
"R1","73.78","65.722","Top","180.0","C25741"
"R2","77.153","72.605","Top","90.0","C25900"
"R3","74.81","70.803","Top","0.0","C25900"
"R4","82.867","61.913","Top","180.0","C25741"
"R5","85.408","66.992","Top","90.0","C25900"
"R6","85.408","64.77","Top","90.0","C25900"
"R7","42.545","68.58","Top","90.0","C25900"
"R8","54.293","68.58","Top","90.0","C25900"
"R9","60.008","68.898","Top","90.0","C25900"
"R10","65.087","68.898","Top","90.0","C25900"
"R101","8.058","36.83","Top","180.0","C25900"
"R102","6.033","13.595","Top","90.0","C17840"
"R103","6.033","17.087","Top","90.0","C17840"
"R104","5.913","36.83","Top","0.0","C25762"
"R105","52.705","49.41","Top","90.0","C11702"
"R106","58.222","44.768","Top","180.0","C25762"
"R107","8.572","13.335","Top","90.0","C25752"
"R108","52.705","47.428","Top","270.0","C25900"
"R109","16.947","36.83","Top","180.0","C25900"
"R110","15.875","13.595","Top","90.0","C17840"
"R111","15.875","17.087","Top","90.0","C17840"
"R112","14.803","36.83","Top","0.0","C25762"
"R113","67.628","49.41","Top","90.0","C11702"
"R114","18.732","13.335","Top","90.0","C25752"
"R115","71.875","44.768","Top","180.0","C25762"
"R116","67.628","47.075","Top","270.0","C25900"
"R117","27.742","36.83","Top","180.0","C25900"
"R118","25.717","13.595","Top","90.0","C17840"
"R119","25.717","17.087","Top","90.0","C17840"
"R120","25.597","36.83","Top","0.0","C25762"
"R121","79.375","49.727","Top","90.0","C11702"
"R122","28.258","13.335","Top","90.0","C25752"
"R123","85.21","45.085","Top","180.0","C25762"
"R124","79.375","47.428","Top","270.0","C25900"
"R125","37.585","36.83","Top","180.0","C25900"
"R126","35.878","13.595","Top","90.0","C17840"
"R127","35.878","17.087","Top","90.0","C17840"
"R128","35.44","36.83","Top","0.0","C25762"
"R129","38.1","13.335","Top","90.0","C25752"
"R130","79.375","57.7","Top","90.0","C11702"
"R131","79.375","55.365","Top","270.0","C25900"
"R132","85.408","55.365","Top","270.0","C25762"
"R201","63.817","57.905","Top","270.0","C4109"
"R202","63.817","55.563","Top","90.0","C11702"
"R203","63.5","53.658","Top","180.0","C25762"
"R204","61.595","54.928","Top","90.0","C25762"
"R205","45.72","31.115","Top","270.0","C25762"
"T201","13.961","68.53","Top","270.0","NONE"
"U1","79.852","66.357","Top","0.0","C18229"
"U2","29.21","66.2","Top","90.0","C7063"
"U3","22.86","66.2","Top","90.0","C7063"
"U4","27.84","72.532","Top","270.0","C32677"
"U5","22.125","72.532","Top","270.0","C32677"
"U201","68.955","59.21","Top","0.0","C75510"
"VO101","4.355","23.308","Top","0.0","C6649"
"VO102","14.197","23.308","Top","0.0","C6649"
"VO103","24.357","23.308","Top","0.0","C6649"
"VO104","33.883","23.308","Top","0.0","C6649"
"FID1","51.117","83.82","Top","0.0",""
"FID2","51.435","3.492","Top","0.0",""
"FID3","3.492","49.847","Top","0.0",""
"FID4","100.013","84.773","Top","0.0",""
