RefDes,X (mm),Y (mm),Side,Rotate,LCSC
C1,74.295,67.8,Top,90,C1525
C2,85.09,61.913,Top,0,C1525
C101,3.81,30.928,Top,90,C96123
C102,6.35,30.928,Top,90,C96123
C103,12.7,30.928,Top,90,C96123
C104,15.558,30.928,Top,90,C96123
C105,23.813,30.928,Top,90,C96123
C106,26.67,30.928,Top,90,C96123
C107,33.655,30.928,Top,90,C96123
C108,36.513,30.928,Top,90,C96123
C201,64.135,62.115,Top,270,C49217
C202,3.925,65.405,Top,0,C49217
C203,3.925,67.628,Top,0,C49217
C204,6.465,70.168,Top,0,C49217
C205,3.997,62.548,Top,180,C96123
C206,7.62,63.947,Top,90,C96123
D1,67.628,71.29,Top,270,C78395
D2,45.085,71.29,Top,270,C78395
D3,57.15,71.29,Top,270,C78395
D4,62.548,71.29,Top,270,C78395
D101,2.858,15.303,Top,270,C95872
D102,56.198,40.128,Top,90,C8598
D103,55.18,44.768,Top,180,C2286
D104,3.81,35.625,Top,90,C2286
D105,12.7,15.303,Top,270,C95872
D106,71.438,40.763,Top,90,C8598
D107,68.832,44.768,Top,180,C2286
D108,12.7,35.308,Top,90,C2286
D109,22.86,15.303,Top,270,C95872
D110,87.63,40.763,Top,90,C8598
D111,82.485,45.085,Top,180,C2286
D112,23.813,35.625,Top,90,C2286
D113,32.385,15.303,Top,270,C95872
D114,88.265,51.24,Top,90,C8598
D115,33.655,35.625,Top,90,C2286
D116,85.408,52.005,Top,270,C2286
D201,6.095,73.342,Top,180,C412437
D202,45.72,27.773,Top,270,C2286
Q101,56.373,48.16,Top,0,C8545
Q102,70.66,48.16,Top,0,C8545
Q103,82.408,48.16,Top,0,C8545
Q104,82.408,56.097,Top,0,C8545
R1,73.78,65.722,Top,180,C25741
R2,77.153,72.605,Top,90,C25900
R3,74.81,70.803,Top,0,C25900
R4,82.867,61.913,Top,180,C25741
R5,85.408,66.992,Top,90,C25900
R6,85.408,64.77,Top,90,C25900
R7,42.545,68.58,Top,90,C25900
R8,54.293,68.58,Top,90,C25900
R9,60.008,68.898,Top,90,C25900
R10,65.087,68.898,Top,90,C25900
R101,8.058,36.83,Top,180,C25900
R102,6.033,13.595,Top,90,C17840
R103,6.033,17.087,Top,90,C17840
R104,5.913,36.83,Top,0,C25762
R105,52.705,49.41,Top,90,C11702
R106,58.222,44.768,Top,180,C25762
R107,8.572,13.335,Top,90,C25752
R108,52.705,47.428,Top,270,C25900
R109,16.947,36.83,Top,180,C25900
R110,15.875,13.595,Top,90,C17840
R111,15.875,17.087,Top,90,C17840
R112,14.803,36.83,Top,0,C25762
R113,67.628,49.41,Top,90,C11702
R114,18.732,13.335,Top,90,C25752
R115,71.875,44.768,Top,180,C25762
R116,67.628,47.075,Top,270,C25900
R117,27.742,36.83,Top,180,C25900
R118,25.717,13.595,Top,90,C17840
R119,25.717,17.087,Top,90,C17840
R120,25.597,36.83,Top,0,C25762
R121,79.375,49.727,Top,90,C11702
R122,28.258,13.335,Top,90,C25752
R123,85.21,45.085,Top,180,C25762
R124,79.375,47.428,Top,270,C25900
R125,37.585,36.83,Top,180,C25900
R126,35.878,13.595,Top,90,C17840
R127,35.878,17.087,Top,90,C17840
R128,35.44,36.83,Top,0,C25762
R129,38.1,13.335,Top,90,C25752
R130,79.375,57.7,Top,90,C11702
R131,79.375,55.365,Top,270,C25900
R132,85.408,55.365,Top,270,C25762
R201,63.817,57.905,Top,270,C4109
R202,63.817,55.563,Top,90,C11702
R203,63.5,53.658,Top,180,C25762
R204,61.595,54.928,Top,90,C25762
R205,45.72,31.115,Top,270,C25762
U1,79.852,66.357,Top,0,C18229
U2,29.21,66.2,Top,90,C7063
U3,22.86,66.2,Top,90,C7063
U4,27.84,72.532,Top,270,C32677
U5,22.125,72.532,Top,270,C32677
U201,68.955,59.21,Top,0,C75510
VO101,4.355,23.308,Top,0,C6649
VO102,14.197,23.308,Top,0,C6649
VO103,24.357,23.308,Top,0,C6649
VO104,33.883,23.308,Top,0,C6649
